episode,dqn_routing_reward,dqn_bottleneck_util,spf_bottleneck_util,dqn_avg_latency,spf_avg_latency,multicast_reward,multicast_bw_saved_mbps,ddos_accuracy,ddos_false_positive
1,-2.3068,52.60,47.12,26.00,14.00,33.9000,60.00,0.0,1.0
2,-2.9823,28.82,95.64,22.50,17.00,33.9000,60.00,0.0,1.0
3,-4.6000,50.00,50.00,53.00,53.00,22.6000,40.00,0.0,1.0
4,-1.8606,23.29,24.71,14.40,11.80,45.2000,80.00,0.0,0.0
5,-2.5140,54.27,39.36,10.00,8.00,33.9000,60.00,0.0,1.0
6,-1.0679,24.53,24.53,8.00,8.00,22.6000,40.00,0.0,1.0
7,-8.4500,15.24,29.22,3.00,3.00,22.6000,40.00,0.0,1.0
8,-1.0680,22.03,24.53,4.00,2.00,22.6000,40.00,0.0,0.0
9,-2.3839,43.89,43.22,9.80,6.20,22.6000,40.00,0.0,1.0
10,-2.0311,20.72,28.74,14.00,14.00,45.2000,80.00,0.0,0.0
11,-4.7500,50.00,17.88,56.00,8.00,27.2000,50.00,0.0,1.0
12,-0.9823,18.82,17.54,2.00,2.00,38.5000,70.00,0.0,1.0
13,-1.4379,49.19,42.02,2.00,2.00,27.2000,50.00,0.0,1.0
14,-1.2086,23.78,28.57,12.80,9.60,27.2000,50.00,0.0,1.0
15,-1.1137,50.00,27.58,56.00,8.00,38.5000,70.00,0.0,0.0
16,-2.0107,20.72,27.38,14.00,14.00,45.2000,80.00,0.0,0.0
17,-1.5005,53.37,53.37,2.00,2.00,22.6000,40.00,0.0,1.0
18,-268.5989,93.02,93.02,2.00,2.00,33.9000,60.00,0.0,1.0
19,-5.4000,29.84,29.84,12.20,12.20,33.9000,60.00,0.0,1.0
20,-1.1101,27.34,27.34,8.00,8.00,33.9000,60.00,0.0,0.0
21,-2.4358,47.29,47.29,8.00,8.00,45.2000,80.00,0.0,0.0
22,-143.3705,92.68,92.68,5.00,5.00,33.9000,60.00,0.0,1.0
23,-5.8750,14.34,14.34,13.50,13.50,33.9000,60.00,0.0,1.0
24,-1.6350,26.00,26.00,12.90,12.90,22.6000,40.00,0.0,1.0
25,-2.4629,54.58,54.58,14.00,14.00,45.2000,80.00,0.0,1.0
26,-1.0629,24.19,24.19,8.00,8.00,45.2000,80.00,0.0,0.0
27,-3.8500,50.00,50.00,50.00,50.00,33.9000,60.00,0.0,0.0
28,-3.5655,29.83,29.83,22.00,22.00,22.6000,40.00,0.0,0.0
29,-2.4848,47.12,47.12,8.20,8.20,45.2000,80.00,0.0,1.0
30,-244.3916,20.51,20.51,14.00,14.00,33.9000,60.00,0.0,1.0
31,-1.0776,25.17,25.17,8.00,8.00,33.9000,60.00,0.0,1.0
32,-1.7019,27.30,27.30,2.00,2.00,33.9000,60.00,0.0,0.0
33,-3.3979,53.60,45.86,16.00,17.00,38.5000,70.00,0.0,1.0
34,-2.9230,94.88,94.88,14.20,14.20,22.6000,40.00,0.0,0.0
35,-4.7500,27.90,27.90,8.00,8.00,45.2000,80.00,0.0,0.0
36,-1.8618,17.45,17.45,14.00,14.00,22.6000,40.00,1.0,0.0
37,-4.6565,54.27,53.77,26.20,20.50,45.2000,80.00,1.0,0.0
38,-102.2394,29.28,29.28,9.00,9.00,22.6000,40.00,0.0,0.0
39,-1.7758,14.27,50.00,13.40,50.00,22.6000,40.00,0.0,0.0
40,-2.1367,21.53,21.53,8.00,8.00,33.9000,60.00,0.0,0.0
41,-1.4105,47.37,47.37,8.00,8.00,45.2000,80.00,1.0,0.0
42,-241.0504,97.24,97.24,5.00,5.00,22.6000,40.00,0.0,0.0
43,-3.8500,50.00,50.00,50.00,50.00,45.2000,80.00,1.0,0.0
44,-1.8788,10.43,10.43,4.90,4.90,45.2000,80.00,1.0,0.0
45,-2.5189,53.58,53.58,14.00,14.00,33.9000,60.00,1.0,0.0
46,-1.0590,23.94,23.94,8.00,8.00,33.9000,60.00,1.0,0.0
47,-5.8500,16.31,50.00,16.00,78.00,45.2000,80.00,0.0,0.0
48,-1.7376,15.34,15.34,2.00,2.00,38.5000,70.00,1.0,0.0
49,-2.7571,54.64,54.64,6.80,6.80,22.6000,40.00,0.0,0.0
50,-2.0117,27.44,27.44,14.00,14.00,22.6000,40.00,1.0,0.0
51,-0.8649,10.99,10.99,8.00,8.00,22.6000,40.00,1.0,0.0
52,-1.4522,11.76,11.76,3.00,3.00,22.6000,40.00,1.0,0.0
53,-2.1799,48.66,54.36,8.00,5.00,27.2000,50.00,1.0,0.0
54,-2.3721,11.46,11.46,8.10,8.10,27.2000,50.00,0.0,0.0
55,-6.1500,28.30,28.30,14.00,14.00,22.6000,40.00,1.0,0.0
56,-1.9402,22.68,17.26,10.00,14.00,33.9000,60.00,1.0,0.0
57,-2.6742,44.94,50.75,16.00,17.00,33.9000,60.00,1.0,0.0
58,-3.0180,27.87,91.72,22.00,14.00,33.9000,60.00,1.0,0.0
59,-1.6640,24.27,24.32,14.00,4.70,22.6000,40.00,0.0,0.0
60,-2.0396,29.64,23.47,10.00,14.00,45.2000,80.00,1.0,0.0
61,-2.2369,46.47,53.35,10.00,14.00,22.6000,40.00,1.0,0.0
62,-2.3259,21.20,21.20,6.00,6.00,45.2000,80.00,0.0,0.0
63,-7.4500,18.24,18.24,2.50,2.50,22.6000,40.00,1.0,0.0
64,-0.8040,10.26,10.26,7.00,7.00,45.2000,80.00,1.0,0.0
65,-1.4434,49.56,49.56,8.00,8.00,45.2000,80.00,0.0,0.0
66,-2.0097,21.14,21.14,14.00,14.00,22.6000,40.00,1.0,0.0
67,-7.1250,26.44,50.00,23.00,83.00,22.6000,40.00,1.0,0.0
68,-4.6841,14.80,14.80,4.00,4.00,33.9000,60.00,0.0,0.0
69,-2.7296,45.64,42.40,12.30,17.80,33.9000,60.00,1.0,0.0
70,-78.5638,15.98,15.98,14.00,14.00,22.6000,40.00,0.0,0.0
71,-2.9292,13.53,13.53,8.00,8.00,27.2000,50.00,0.0,0.0
72,-2.3682,22.88,29.61,16.50,14.00,27.2000,50.00,1.0,0.0
73,-2.2609,54.06,50.49,5.00,5.00,22.6000,40.00,1.0,0.0
74,-2.6603,23.68,29.57,16.10,20.40,27.2000,50.00,1.0,0.0
75,-0.8941,12.94,12.94,8.00,8.00,27.2000,50.00,0.0,0.0
76,-1.9918,19.45,26.38,10.00,14.00,45.2000,80.00,1.0,0.0
77,-1.4086,47.24,47.24,2.00,2.00,33.9000,60.00,1.0,0.0
78,-1.9943,24.62,24.62,9.00,9.00,45.2000,80.00,1.0,0.0
79,-3.1245,21.63,50.00,24.10,50.00,33.9000,60.00,0.0,0.0
80,-1.0588,23.92,23.92,8.00,8.00,45.2000,80.00,1.0,0.0
81,-2.5130,54.20,54.93,10.00,14.00,45.2000,80.00,0.0,0.0
82,-269.4047,21.16,21.16,2.00,2.00,45.2000,80.00,1.0,0.0
83,-4.6000,50.00,50.00,53.00,53.00,45.2000,80.00,0.0,0.0
84,-1.4795,28.97,25.42,8.90,15.30,22.6000,40.00,1.0,0.0
85,-2.5227,54.85,52.13,10.00,14.00,22.6000,40.00,0.0,0.0
86,-68.4113,18.21,18.21,8.00,8.00,45.2000,80.00,0.0,0.0
87,-3.8500,50.00,50.00,50.00,50.00,45.2000,80.00,1.0,0.0
88,-1.8981,22.00,27.45,5.00,5.00,45.2000,80.00,0.0,0.0
89,-1.0057,38.38,38.38,2.60,2.60,33.9000,60.00,1.0,0.0
90,-1.0025,20.16,20.16,8.00,8.00,38.5000,70.00,0.0,0.0
91,-1.9562,23.75,23.75,14.00,14.00,38.5000,70.00,1.0,0.0
92,-2.2185,27.90,27.90,18.00,18.00,27.2000,50.00,1.0,0.0
93,-2.9750,51.66,54.39,8.00,5.00,38.5000,70.00,0.0,0.0
94,-104.8454,29.62,29.62,19.20,19.20,38.5000,70.00,1.0,0.0
95,-6.1500,29.36,29.36,14.00,14.00,38.5000,70.00,0.0,0.0
96,-2.1172,27.81,27.81,10.00,14.00,22.6000,40.00,1.0,0.0
97,-3.7227,51.28,51.28,30.00,24.50,45.2000,80.00,0.0,0.0
98,-3.4155,22.38,91.44,16.00,16.50,45.2000,80.00,1.0,0.0
99,-0.6886,17.90,17.90,2.40,2.40,22.6000,40.00,0.0,0.0
100,-3.5017,28.38,21.58,10.00,14.00,45.2000,80.00,1.0,0.0
101,-3.2917,50.11,50.11,8.00,8.00,33.9000,60.00,1.0,0.0
102,-89.2161,90.64,90.64,4.00,2.00,22.6000,40.00,1.0,0.0
103,-3.8500,50.00,50.00,50.00,50.00,45.2000,80.00,1.0,0.0
104,-1.7287,28.35,22.58,11.20,15.80,22.6000,40.00,1.0,0.0
105,-3.8722,54.09,53.14,10.00,14.00,33.9000,60.00,1.0,0.0
106,-184.3011,24.44,24.44,14.00,14.00,33.9000,60.00,0.0,0.0
107,-3.8500,50.00,50.00,50.00,50.00,45.2000,80.00,0.0,0.0
108,-1.1440,12.55,12.55,2.00,2.00,38.5000,70.00,1.0,0.0
109,-3.2808,42.47,53.21,16.50,12.90,45.2000,80.00,1.0,0.0
110,-268.9708,23.87,23.87,14.00,14.00,27.2000,50.00,0.0,0.0
111,-6.1500,27.77,27.77,14.00,14.00,38.5000,70.00,1.0,0.0
112,-0.9897,19.32,27.49,2.00,2.00,38.5000,70.00,1.0,0.0
113,-2.2583,54.92,53.89,5.00,5.00,27.2000,50.00,1.0,0.0
114,-1.5134,19.89,19.89,12.30,12.30,22.6000,40.00,1.0,0.0
115,-6.1500,16.72,28.56,14.00,14.00,22.6000,40.00,1.0,0.0
116,-2.1073,27.15,20.88,10.00,14.00,22.6000,40.00,0.0,0.0
117,-2.2462,42.97,53.08,5.00,5.00,22.6000,40.00,1.0,0.0
118,-2.4947,17.98,17.98,20.50,20.50,45.2000,80.00,1.0,0.0
119,-5.4000,21.09,50.00,15.20,50.00,33.9000,60.00,1.0,0.0
120,-2.1403,29.35,23.34,10.00,14.00,45.2000,80.00,1.0,0.0
121,-2.3939,43.78,43.78,14.00,14.00,45.2000,80.00,1.0,0.0
122,-283.7863,21.78,21.78,18.00,18.00,22.6000,40.00,1.0,0.0
123,-6.4250,29.95,50.00,27.00,83.50,22.6000,40.00,0.0,0.0
124,-1.0654,23.79,20.36,11.80,9.20,22.6000,40.00,1.0,0.0
125,-1.3675,44.50,44.50,8.00,8.00,22.6000,40.00,1.0,0.0
126,-0.8663,11.09,11.09,8.00,8.00,22.6000,40.00,1.0,0.0
127,-1.0324,15.72,18.82,3.00,3.00,22.6000,40.00,0.0,0.0
128,-0.8681,29.54,29.54,2.50,2.50,22.6000,40.00,1.0,0.0
129,-4.1053,43.46,43.46,4.50,4.50,38.5000,70.00,0.0,0.0
130,-2.8956,16.33,16.33,8.00,8.00,45.2000,80.00,1.0,0.0
131,-1.0750,25.00,25.00,8.00,8.00,22.6000,40.00,1.0,0.0
132,-1.9282,29.28,23.54,19.50,13.50,38.5000,70.00,0.0,0.0
133,-1.4279,40.74,48.53,2.00,2.00,22.6000,40.00,1.0,0.0
134,-2.7127,22.31,26.32,15.10,8.40,22.6000,40.00,0.0,0.0
135,-1.1099,27.32,27.32,8.00,8.00,22.6000,40.00,1.0,0.0
136,-2.1317,15.67,15.67,8.00,8.00,22.6000,40.00,1.0,0.0
137,-4.5247,49.21,49.21,22.00,22.00,33.9000,60.00,1.0,0.0
138,-153.6048,91.15,97.82,5.00,5.00,33.9000,60.00,1.0,0.0
139,-6.0350,24.16,24.16,5.00,5.00,22.6000,40.00,1.0,0.0
140,-0.8597,10.64,10.64,8.00,8.00,45.2000,80.00,0.0,0.0
141,-2.5210,47.89,47.89,14.00,14.00,45.2000,80.00,1.0,0.0
142,-79.0737,96.75,92.28,2.00,2.00,22.6000,40.00,0.0,0.0
143,-4.6000,50.00,50.00,53.00,53.00,45.2000,80.00,0.0,0.0
144,-3.1984,26.97,26.97,7.00,7.00,33.9000,60.00,1.0,0.0
145,-3.2597,54.50,54.50,8.00,8.00,22.6000,40.00,1.0,0.0
146,-264.4283,24.22,24.22,8.00,8.00,33.9000,60.00,0.0,0.0
147,-6.9250,28.06,28.06,30.00,24.50,45.2000,80.00,1.0,0.0
148,-4.8601,15.26,15.26,16.50,16.50,45.2000,80.00,1.0,0.0
149,-2.9972,50.05,50.05,6.30,6.30,33.9000,60.00,1.0,0.0
150,-1.9194,26.02,26.02,14.00,14.00,33.9000,60.00,1.0,0.0
151,-1.8716,18.11,18.11,14.00,14.00,22.6000,40.00,0.0,0.0
152,-2.9934,22.89,28.32,28.70,21.50,22.6000,40.00,1.0,0.0
153,-1.3709,44.73,44.73,2.00,2.00,38.5000,70.00,1.0,0.0
154,-1.7215,21.57,27.77,15.80,14.10,38.5000,70.00,0.0,0.0
155,-2.0015,23.36,23.36,14.00,14.00,38.5000,70.00,1.0,0.0
156,-1.0172,21.15,21.15,8.00,8.00,45.2000,80.00,1.0,0.0
157,-2.1827,53.41,50.26,5.00,5.00,33.9000,60.00,0.0,0.0
158,-2.6071,25.48,25.48,20.50,20.50,22.6000,40.00,1.0,0.0
159,-1.0546,23.64,23.64,8.00,8.00,45.2000,80.00,1.0,0.0
160,-1.9759,23.54,25.06,10.00,14.00,22.6000,40.00,1.0,0.0
161,-1.2599,37.32,37.32,8.00,8.00,33.9000,60.00,0.0,0.0
162,-275.0535,95.56,95.19,5.00,5.00,45.2000,80.00,1.0,0.0
163,-3.8500,50.00,50.00,50.00,50.00,33.9000,60.00,1.0,0.0
164,-0.8443,27.95,27.95,2.50,2.50,22.6000,40.00,1.0,0.0
165,-3.2881,48.54,48.54,8.00,8.00,45.2000,80.00,0.0,0.0
166,-1.1261,28.41,28.41,8.00,8.00,27.2000,50.00,1.0,0.0
167,-6.8250,23.44,23.44,20.50,20.50,22.6000,40.00,1.0,0.0
168,-3.3027,29.56,29.56,3.00,3.00,38.5000,70.00,1.0,0.0
169,-1.9769,47.82,47.82,6.40,6.40,45.2000,80.00,1.0,0.0
170,-1.8705,21.45,21.45,14.00,14.00,27.2000,50.00,0.0,0.0
