episode,reward,loss,dqn_bottleneck,spf_bottleneck,latency_ms,jitter_ms,loss_pct,epsilon
1,-2046.9088,0.05,100.0,100.0,2930.64,6596.029,30.05,1.0
2,-127.6619,0.05,90.94,90.94,137.65,312.508,13.647,0.999
3,6.0402,0.05,39.55,82.29,63.49,9.844,0.02,0.999
4,-4.2815,0.05,35.61,17.79,36.38,4.625,0.018,0.998
5,3.6246,0.05,47.49,47.49,5.15,1.695,0.024,0.998
6,-643.7947,0.05,100.0,100.0,852.1,1918.982,30.05,0.998
7,0.128,0.05,45.5,27.58,10.91,3.265,0.023,0.997
8,7.3638,0.05,39.57,90.47,46.76,7.551,0.02,0.997
9,3.7504,0.05,36.94,36.94,4.31,0.77,0.018,0.996
10,8.934,0.05,41.1,97.76,4.42,1.271,0.021,0.996
11,-15.653,0.05,68.28,68.28,44.43,30.08,0.034,0.996
12,-465.0206,0.05,100.0,100.0,534.0,1202.902,30.05,0.995
13,6.7645,0.05,44.21,96.32,55.83,11.25,0.022,0.995
14,7.1868,0.05,44.75,96.34,37.52,7.869,0.022,0.994
15,3.7291,0.05,38.3,38.3,3.96,1.124,0.019,0.994
16,-127.4856,0.05,88.06,22.7,452.04,1018.837,9.871,0.994
17,8.4544,0.05,41.56,96.33,10.71,2.824,0.021,0.993
18,-877.4504,0.05,100.0,27.05,3175.29,7146.858,30.05,0.993
19,-1012.8786,0.05,100.0,25.85,3682.69,8287.443,30.05,0.992
20,0.7303,0.05,31.96,27.59,3.52,0.938,0.016,0.992
21,-10.8163,0.05,64.77,25.11,93.42,51.453,0.032,0.992
22,9.2362,0.05,36.2,95.0,9.75,2.301,0.018,0.991
23,-374.7842,0.05,94.09,94.09,489.26,1101.891,18.567,0.991
24,8.3205,0.05,36.94,91.2,32.51,4.566,0.018,0.99
25,0.6579,0.05,40.1,26.32,4.38,1.23,0.02,0.99
26,-2151.2724,0.05,100.0,100.0,3085.25,6943.908,30.05,0.99
27,0.1435,0.05,43.5,26.33,11.01,3.059,0.022,0.989
28,7.2893,0.05,38.64,89.57,53.61,8.319,0.019,0.989
29,-3.6394,0.05,30.05,13.13,26.24,3.274,0.015,0.988
30,-422.604,0.05,100.0,87.12,524.88,1181.68,30.05,0.988
31,-27.123,0.05,75.31,29.41,169.43,176.514,0.714,0.988
32,-938.2706,291.2158,100.0,100.0,1235.11,2780.402,30.05,0.987
33,-805.4968,613.3773,100.0,100.0,1091.51,2457.989,30.05,0.987
34,-4.3972,325.2133,37.0,11.87,37.76,5.092,0.018,0.986
35,11.1783,247.8836,24.61,93.81,3.17,0.815,0.012,0.986
36,0.1013,216.6961,57.56,57.56,50.5,18.788,0.029,0.986
37,-990.305,311.0786,100.0,100.0,1312.2,2953.85,30.05,0.985
38,-3807.0961,265.8232,100.0,100.0,5485.07,12343.154,30.05,0.985
39,-2.9037,362.7865,37.74,22.99,28.67,4.702,0.019,0.984
40,0.7064,390.4226,34.54,26.31,3.84,1.015,0.017,0.984
41,-32.5455,376.8317,80.55,28.33,167.11,251.899,3.06,0.984
42,3.3239,295.5528,43.22,43.22,9.78,2.848,0.022,0.983
43,-1062.6547,371.725,100.0,100.0,1472.64,3315.182,30.05,0.983
44,8.1679,204.1758,40.1,95.92,37.91,5.979,0.02,0.982
45,-458.654,369.1108,100.0,100.0,524.88,1181.68,30.05,0.982
46,3.1543,242.1557,41.37,41.37,14.6,2.617,0.021,0.982
47,7.7032,268.25,46.85,97.88,10.79,3.406,0.023,0.981
48,9.4474,179.0165,34.04,95.74,30.3,3.796,0.017,0.981
49,-1012.4521,278.633,100.0,24.02,3681.13,8283.953,30.05,0.98
50,0.6425,337.8049,41.6,27.84,4.54,1.305,0.021,0.98
51,7.2623,288.5191,41.52,88.22,22.14,4.336,0.021,0.98
52,9.8352,682.4467,31.59,93.38,8.34,1.947,0.016,0.979
53,-3.4444,323.2155,40.49,40.49,52.4,8.244,0.02,0.979
54,-1193.9965,352.9049,100.0,10.07,4330.26,9744.835,30.05,0.978
55,3.6748,248.7775,41.32,41.32,4.81,1.329,0.021,0.978
56,-640.3286,349.6015,100.0,100.0,846.97,1907.429,30.05,0.978
57,-904.0435,258.2719,100.0,100.0,1184.41,2666.312,30.05,0.977
58,-328.892,252.5004,91.76,94.41,432.34,974.873,14.847,0.977
59,3.7675,223.7855,28.69,28.69,4.37,0.577,0.014,0.976
60,0.739,288.4264,28.8,23.19,3.46,0.881,0.014,0.976
61,-74.3802,274.4947,79.68,79.68,136.93,192.889,2.542,0.976
62,8.3709,310.0416,42.29,96.84,11.54,3.009,0.021,0.975
63,6.251,280.0444,43.17,90.23,57.32,10.911,0.022,0.975
64,-1.0598,346.7681,30.6,29.09,33.62,3.79,0.015,0.974
65,-422.604,220.5881,100.0,95.71,524.88,1181.68,30.05,0.974
66,-1167.242,276.6801,100.0,100.0,1574.64,3543.64,30.05,0.974
67,9.4825,182.9123,35.36,95.88,9.8,2.253,0.018,0.973
68,1.754,236.0788,43.65,43.65,38.77,6.951,0.022,0.973
69,-2495.9495,118.0671,100.0,100.0,3542.94,7972.665,30.05,0.972
70,0.7157,215.7334,32.93,28.51,3.74,0.972,0.016,0.972
71,-39.5831,290.0267,73.76,73.76,109.21,102.945,0.361,0.972
72,-2.229,149.5223,42.81,22.77,15.82,4.381,0.021,0.971
73,-1869.6523,276.6424,100.0,100.0,2668.34,6005.174,30.05,0.971
74,10.1046,187.8533,31.79,97.35,25.65,3.111,0.016,0.97
75,8.4068,279.7235,35.76,85.91,3.69,1.031,0.018,0.97
76,-2116.8392,290.0902,100.0,100.0,3034.24,6829.131,30.05,0.97
77,-427.5924,247.6455,100.0,97.11,531.96,1198.308,30.05,0.969
78,-3094.4614,274.8493,100.0,100.0,4429.31,9967.705,30.05,0.969
79,-0.9733,301.3297,36.15,25.7,15.26,2.106,0.018,0.968
80,3.6882,342.492,43.52,43.52,4.39,1.362,0.022,0.968
81,-2584.523,315.6964,100.0,100.0,3674.16,8267.91,30.05,0.968
82,0.158,319.3471,44.66,29.23,10.6,3.119,0.022,0.967
83,6.4242,357.8512,41.98,88.11,50.43,9.342,0.021,0.967
84,-2.5432,256.6295,35.73,27.4,39.59,5.638,0.018,0.966
85,3.7229,203.401,38.91,38.91,4.05,1.152,0.019,0.966
86,-2.3486,174.7795,54.49,54.49,27.83,9.57,0.027,0.966
87,8.653,276.6154,39.93,96.86,13.2,3.676,0.02,0.965
88,-3299.7121,271.7136,100.0,100.0,4733.39,10651.874,30.05,0.965
89,7.4747,317.8994,34.98,81.98,33.46,4.933,0.017,0.964
90,0.7059,344.7272,33.19,15.97,3.9,0.99,0.017,0.964
91,-1521.431,340.8875,100.0,100.0,2099.52,4724.27,30.05,0.964
92,7.3139,357.5533,48.27,97.48,13.64,4.164,0.024,0.963
93,-9.5681,697.934,37.96,20.71,54.39,8.484,0.019,0.963
94,-1.5178,323.0486,40.25,28.37,37.66,6.346,0.02,0.962
95,0.6923,607.2578,34.95,15.42,4.07,1.044,0.017,0.962
96,-4.1055,278.2558,61.22,29.78,53.49,24.312,0.031,0.962
97,9.4082,271.2842,35.13,94.86,9.12,2.181,0.018,0.961
98,-1784.8773,224.0728,100.0,100.0,2542.28,5722.591,30.05,0.961
99,-4.2595,866.9088,41.67,26.62,32.88,6.154,0.021,0.96
100,0.6413,237.4077,41.07,22.21,4.59,1.291,0.021,0.96
101,-182.236,258.8858,82.63,82.63,314.96,559.111,4.521,0.96
102,8.961,235.1547,38.98,96.69,9.88,2.506,0.019,0.959
103,-2044.9955,223.7555,98.81,98.81,2886.84,6496.09,27.5,0.959
104,7.5722,95.985,41.92,94.53,37.64,6.877,0.021,0.958
105,0.6414,244.2859,44.06,21.73,4.4,1.387,0.022,0.958
106,-613.229,304.399,100.0,100.0,806.98,1817.097,30.05,0.958
107,-426.3414,241.4761,100.0,91.62,530.11,1194.138,30.05,0.957
108,-640.7774,792.5739,100.0,18.55,2303.5,5186.024,30.05,0.957
109,-0.7855,587.1481,34.88,10.83,12.25,1.73,0.017,0.956
110,7.3814,232.8571,47.12,93.32,4.88,1.621,0.024,0.956
111,-4.4928,271.0095,53.64,28.33,30.19,9.832,0.027,0.956
112,-0.0076,339.6996,47.85,24.17,12.44,3.857,0.024,0.955
113,1.8289,346.3422,40.43,40.43,38.13,6.459,0.02,0.955
114,-980.6727,390.0977,100.0,24.33,3561.81,8015.822,30.05,0.954
115,-422.604,219.3519,100.0,87.39,524.88,1181.68,30.05,0.954
116,-158.7455,162.2491,87.48,17.5,573.11,1290.899,9.191,0.954
117,-2.2888,174.9145,45.01,29.93,16.2,4.786,0.023,0.953
118,7.1431,285.7011,37.06,87.26,64.51,9.137,0.019,0.953
119,-1167.137,137.3129,100.0,100.0,1574.64,3543.29,30.05,0.952
120,3.6914,358.0209,40.42,40.42,4.56,1.262,0.02,0.952
121,-1485.381,262.3667,100.0,100.0,2099.52,4724.27,30.05,0.952
122,-462.9863,238.3126,100.0,100.0,530.99,1196.121,30.05,0.951
123,6.2839,280.1177,45.29,93.68,51.71,11.176,0.023,0.951
124,-1.8602,403.6647,39.08,33.51,28.64,4.281,0.02,0.95
125,-422.604,134.1878,100.0,89.24,524.88,1181.68,30.05,0.95
126,-32.0155,156.9271,76.11,93.94,204.57,224.542,0.954,0.95
127,-347.9853,283.7684,100.0,100.0,413.4,932.951,30.05,0.949
128,-11.4926,720.0337,44.78,26.22,78.57,15.641,0.022,0.949
129,6.709,129.4698,43.2,90.85,44.49,8.328,0.022,0.948
130,3.7124,271.6042,38.76,38.76,4.26,1.171,0.019,0.948
131,-61.7593,75.4282,83.34,24.05,246.59,464.299,5.093,0.948
132,-6.2462,325.8628,32.54,26.74,16.93,3.996,0.016,0.947
133,6.8133,231.7249,43.07,94.93,58.53,11.032,0.022,0.947
134,-978.7062,299.6602,100.0,26.57,3554.66,7999.732,30.05,0.946
135,3.6151,154.5584,46.62,46.62,5.4,1.689,0.023,0.946
136,-1521.431,320.7321,100.0,100.0,2099.52,4724.27,30.05,0.946
137,6.9653,394.0799,48.27,94.11,11.78,3.788,0.024,0.945
138,-6.0033,294.2265,40.54,40.54,60.75,9.656,0.02,0.945
139,-1.0392,434.0075,39.41,26.96,30.86,4.961,0.02,0.944
140,-458.654,315.6075,100.0,100.0,524.88,1181.68,30.05,0.944
141,-2584.523,199.0474,100.0,100.0,3674.16,8267.91,30.05,0.944
142,-2.2216,271.6201,42.96,29.18,15.67,4.381,0.021,0.943
143,-2673.7098,141.4107,100.0,100.0,3806.13,8565.199,30.05,0.943
144,8.2258,159.6668,37.24,92.47,41.65,5.893,0.019,0.942
145,0.6673,171.8343,41.14,22.17,4.17,1.24,0.021,0.942
146,-296.0257,166.0433,100.0,54.38,1075.95,2422.283,30.05,0.942
147,0.3129,215.0559,36.33,23.78,9.22,2.26,0.018,0.941
148,-2701.6811,101.0149,100.0,100.0,3847.73,8658.437,30.05,0.941
149,-5.7618,218.8046,39.74,19.98,41.86,6.688,0.02,0.94
150,0.7313,90.6191,30.51,18.26,3.55,0.914,0.015,0.94
151,-60.5804,145.3005,78.34,78.34,121.23,154.87,1.843,0.94
152,-990.305,93.3503,100.0,100.0,1312.2,2953.85,30.05,0.939
153,-1789.2677,93.9013,100.0,100.0,2496.0,5617.059,30.05,0.939
154,-547.1225,307.4341,100.0,100.0,656.1,1476.575,30.05,0.938
155,-422.604,193.0802,100.0,92.51,524.88,1181.68,30.05,0.938
156,-636.8911,392.9688,100.0,100.0,841.88,1895.97,30.05,0.938
157,0.0781,138.4194,47.28,23.79,11.32,3.559,0.024,0.937
158,-884.312,158.4478,100.0,16.19,3192.84,7186.698,30.05,0.937
159,-1144.7865,431.8626,100.0,100.0,1594.62,3588.955,30.05,0.936
160,0.7049,667.5559,37.08,29.39,3.76,1.07,0.019,0.936
161,-2584.523,232.8119,100.0,100.0,3674.16,8267.91,30.05,0.936
162,0.3334,180.7681,34.37,24.41,9.06,2.134,0.017,0.935
163,6.7009,252.2294,45.03,95.5,48.45,10.141,0.023,0.935
164,-1884.7966,294.7384,100.0,100.0,2637.22,5935.489,30.05,0.934
165,0.6791,116.9582,40.39,17.41,4.03,1.196,0.02,0.934
166,-1167.242,784.0558,100.0,100.0,1574.64,3543.64,30.05,0.934
167,-6.4836,100.6927,39.26,30.88,19.59,5.038,0.02,0.933
168,-880.5912,230.9345,100.0,18.49,3201.77,7205.028,30.05,0.933
169,5.6749,306.3116,48.03,91.64,44.71,10.679,0.024,0.932
170,3.7693,259.6321,31.23,31.23,3.46,0.921,0.016,0.932
171,-892.626,295.8381,93.05,78.44,1261.29,2840.007,16.849,0.932
